#Created by HistoryFileGenerator at Fri May 19 18:36:58 MSK 2017
#Parameters: O=../PLok/hs/h1.csv, N=1019, Q=20000, R=20, W=5
@1019
!HOT_RANGES/RECENT_TRACKING/1-20, 70-90/5
20,10,203,16,20
40,712,916,36,40
60,10,203,56,60
80,10,203,75,80
100,10,203,95,100
120,10,203,116,120
140,10,203,136,140
160,10,203,156,160
180,358,664,175,180
200,10,203,195,200
220,712,916,216,220
240,590,798,235,240
260,712,916,255,260
280,712,916,275,280
300,712,916,296,300
320,10,203,315,320
340,10,203,335,340
360,712,916,355,360
380,10,203,376,380
400,712,916,395,400
420,712,916,415,420
440,712,916,435,440
460,3,39,455,460
480,83,195,476,480
500,10,203,495,500
520,10,203,515,520
540,10,203,536,540
560,10,203,555,560
580,10,203,576,580
600,712,916,595,600
620,10,203,615,620
640,712,916,636,640
660,712,916,655,660
680,560,720,676,680
700,10,203,696,700
720,712,916,716,720
740,10,203,735,740
760,712,916,756,760
780,10,203,775,780
800,10,203,796,800
820,10,203,816,820
840,10,203,836,840
860,10,203,855,860
880,10,203,876,880
900,10,203,896,900
920,712,916,915,920
940,712,916,935,940
960,420,736,955,960
980,88,726,976,980
1000,712,916,995,1000
1020,10,203,1015,1020
1040,712,916,1035,1040
1060,10,203,1055,1060
1080,10,203,1076,1080
1100,712,916,1095,1100
1120,10,203,1115,1120
1140,10,203,1136,1140
1160,712,916,1156,1160
1180,712,916,1175,1180
1200,712,916,1196,1200
1220,10,203,1216,1220
1240,10,203,1235,1240
1260,712,916,1256,1260
1280,767,829,1275,1280
1300,712,916,1296,1300
1320,10,203,1315,1320
1340,712,916,1336,1340
1360,10,203,1355,1360
1380,10,203,1376,1380
1400,10,203,1395,1400
1420,445,941,1415,1420
1440,10,203,1435,1440
1460,10,203,1456,1460
1480,10,203,1476,1480
1500,10,203,1496,1500
1520,10,203,1516,1520
1540,17,799,1536,1540
1560,712,916,1555,1560
1580,10,203,1576,1580
1600,712,916,1595,1600
1620,252,988,1616,1620
1640,732,896,1636,1640
1660,208,521,1655,1660
1680,712,916,1676,1680
1700,712,916,1695,1700
1720,10,203,1715,1720
1740,712,916,1735,1740
1760,168,195,1756,1760
1780,10,203,1776,1780
1800,712,916,1796,1800
1820,712,916,1816,1820
1840,10,203,1836,1840
1860,712,916,1856,1860
1880,712,916,1875,1880
1900,712,916,1896,1900
1920,383,681,1916,1920
1940,10,203,1935,1940
1960,10,203,1955,1960
1980,10,203,1976,1980
2000,10,203,1996,2000
2020,10,203,2016,2020
2040,1002,1017,2035,2040
2060,712,916,2055,2060
2080,10,203,2076,2080
2100,10,203,2095,2100
2120,543,783,2116,2120
2140,712,916,2135,2140
2160,10,203,2156,2160
2180,10,203,2176,2180
2200,359,610,2196,2200
2220,712,916,2216,2220
2240,712,916,2235,2240
2260,712,916,2256,2260
2280,712,916,2276,2280
2300,712,916,2296,2300
2320,819,916,2316,2320
2340,712,916,2335,2340
2360,712,916,2355,2360
2380,10,203,2376,2380
2400,10,203,2396,2400
2420,10,203,2416,2420
2440,882,963,2436,2440
2460,10,203,2456,2460
2480,712,916,2475,2480
2500,10,203,2495,2500
2520,712,916,2516,2520
2540,712,916,2536,2540
2560,712,916,2556,2560
2580,712,916,2575,2580
2600,10,203,2595,2600
2620,10,203,2616,2620
2640,712,916,2636,2640
2660,10,203,2655,2660
2680,712,916,2676,2680
2700,10,203,2695,2700
2720,10,203,2715,2720
2740,10,203,2736,2740
2760,10,203,2756,2760
2780,220,283,2775,2780
2800,712,916,2795,2800
2820,10,203,2816,2820
2840,10,203,2836,2840
2860,712,916,2855,2860
2880,10,203,2876,2880
2900,712,916,2895,2900
2920,712,916,2916,2920
2940,712,916,2936,2940
2960,712,916,2956,2960
2980,10,203,2975,2980
3000,177,188,2995,3000
3020,10,203,3016,3020
3040,823,873,3036,3040
3060,712,916,3055,3060
3080,10,203,3076,3080
3100,712,916,3095,3100
3120,712,916,3116,3120
3140,10,203,3136,3140
3160,712,916,3156,3160
3180,10,203,3175,3180
3200,712,916,3195,3200
3220,10,203,3216,3220
3240,953,957,3235,3240
3260,712,916,3256,3260
3280,712,916,3275,3280
3300,712,916,3295,3300
3320,10,203,3315,3320
3340,10,203,3336,3340
3360,712,916,3355,3360
3380,10,203,3375,3380
3400,712,916,3396,3400
