iPolicy;jPolicy;W;HRS;N;C;P;L;H;V;queriesCount;isFFU;missRatio
FULL_TRACKING;RECENT_TRACKING;2;;100;0.01;1;2;0;5000;500;TRUE;100
FULL_TRACKING;RECENT_TRACKING;2;;100;0.01;2;2;0;5000;500;TRUE;100
FULL_TRACKING;RECENT_TRACKING;2;;100;0.01;4;2;0;5000;500;TRUE;100
FULL_TRACKING;RECENT_TRACKING;2;;100;0.01;8;2;0;5000;500;TRUE;100
FULL_TRACKING;RECENT_TRACKING;2;;100;0.01;16;2;0;5000;500;TRUE;86.73
FULL_TRACKING;RECENT_TRACKING;2;;100;0.01;32;2;0;5000;500;TRUE;69.781
FULL_TRACKING;RECENT_TRACKING;2;;100;0.01;64;2;0;5000;500;TRUE;53.776
FULL_TRACKING;RECENT_TRACKING;2;;100;0.01;128;2;0;5000;500;TRUE;82.162
FULL_TRACKING;RECENT_TRACKING;2;;100;0.01;256;2;0;5000;500;TRUE;95.484
FULL_TRACKING;RECENT_TRACKING;2;;100;0.01;512;2;0;5000;500;TRUE;98.45
FULL_TRACKING;RECENT_TRACKING;2;;100;0.01;1024;2;0;5000;500;TRUE;99.67
FULL_TRACKING;RECENT_TRACKING;2;;100;0.01;2048;2;0;5000;500;TRUE;99.922
FULL_TRACKING;RECENT_TRACKING;2;;100;0.01;1;3;0;5000;500;TRUE;100
FULL_TRACKING;RECENT_TRACKING;2;;100;0.01;2;3;0;5000;500;TRUE;100
FULL_TRACKING;RECENT_TRACKING;2;;100;0.01;4;3;0;5000;500;TRUE;100
FULL_TRACKING;RECENT_TRACKING;2;;100;0.01;8;3;0;5000;500;TRUE;100
FULL_TRACKING;RECENT_TRACKING;2;;100;0.01;16;3;0;5000;500;TRUE;86.388
FULL_TRACKING;RECENT_TRACKING;2;;100;0.01;32;3;0;5000;500;TRUE;68.942
FULL_TRACKING;RECENT_TRACKING;2;;100;0.01;64;3;0;5000;500;TRUE;53.373
FULL_TRACKING;RECENT_TRACKING;2;;100;0.01;128;3;0;5000;500;TRUE;81.26
FULL_TRACKING;RECENT_TRACKING;2;;100;0.01;256;3;0;5000;500;TRUE;95.269
FULL_TRACKING;RECENT_TRACKING;2;;100;0.01;512;3;0;5000;500;TRUE;98.064
FULL_TRACKING;RECENT_TRACKING;2;;100;0.01;1024;3;0;5000;500;TRUE;99.748
FULL_TRACKING;RECENT_TRACKING;2;;100;0.01;1;4;0;5000;500;TRUE;100
FULL_TRACKING;RECENT_TRACKING;2;;100;0.01;2;4;0;5000;500;TRUE;100
FULL_TRACKING;RECENT_TRACKING;2;;100;0.01;4;4;0;5000;500;TRUE;100
FULL_TRACKING;RECENT_TRACKING;2;;100;0.01;8;4;0;5000;500;TRUE;100
FULL_TRACKING;RECENT_TRACKING;2;;100;0.01;16;4;0;5000;500;TRUE;85.952
FULL_TRACKING;RECENT_TRACKING;2;;100;0.01;32;4;0;5000;500;TRUE;68.244
FULL_TRACKING;RECENT_TRACKING;2;;100;0.01;64;4;0;5000;500;TRUE;53.842
FULL_TRACKING;RECENT_TRACKING;2;;100;0.01;128;4;0;5000;500;TRUE;83.295
FULL_TRACKING;RECENT_TRACKING;2;;100;0.01;256;4;0;5000;500;TRUE;95.696
FULL_TRACKING;RECENT_TRACKING;2;;100;0.01;512;4;0;5000;500;TRUE;97.889
FULL_TRACKING;RECENT_TRACKING;2;;100;0.01;1024;4;0;5000;500;TRUE;99.496
FULL_TRACKING;RECENT_TRACKING;2;;100;0.01;1;5;0;5000;500;TRUE;100
FULL_TRACKING;RECENT_TRACKING;2;;100;0.01;2;5;0;5000;500;TRUE;100
FULL_TRACKING;RECENT_TRACKING;2;;100;0.01;4;5;0;5000;500;TRUE;100
FULL_TRACKING;RECENT_TRACKING;2;;100;0.01;8;5;0;5000;500;TRUE;100
FULL_TRACKING;RECENT_TRACKING;2;;100;0.01;16;5;0;5000;500;TRUE;85.782
FULL_TRACKING;RECENT_TRACKING;2;;100;0.01;32;5;0;5000;500;TRUE;67.521
FULL_TRACKING;RECENT_TRACKING;2;;100;0.01;64;5;0;5000;500;TRUE;53.878
FULL_TRACKING;RECENT_TRACKING;2;;100;0.01;128;5;0;5000;500;TRUE;84.152
FULL_TRACKING;RECENT_TRACKING;2;;100;0.01;256;5;0;5000;500;TRUE;96.22
FULL_TRACKING;RECENT_TRACKING;2;;100;0.01;512;5;0;5000;500;TRUE;99.189
FULL_TRACKING;RECENT_TRACKING;2;;100;0.01;1;6;0;5000;500;TRUE;100
FULL_TRACKING;RECENT_TRACKING;2;;100;0.01;2;6;0;5000;500;TRUE;100
FULL_TRACKING;RECENT_TRACKING;2;;100;0.01;4;6;0;5000;500;TRUE;100
FULL_TRACKING;RECENT_TRACKING;2;;100;0.01;8;6;0;5000;500;TRUE;100
FULL_TRACKING;RECENT_TRACKING;2;;100;0.01;16;6;0;5000;500;TRUE;85.141
FULL_TRACKING;RECENT_TRACKING;2;;100;0.01;32;6;0;5000;500;TRUE;66.564
FULL_TRACKING;RECENT_TRACKING;2;;100;0.01;64;6;0;5000;500;TRUE;51.585
FULL_TRACKING;RECENT_TRACKING;2;;100;0.01;128;6;0;5000;500;TRUE;82.256
FULL_TRACKING;RECENT_TRACKING;2;;100;0.01;256;6;0;5000;500;TRUE;94.166
FULL_TRACKING;RECENT_TRACKING;2;;100;0.01;512;6;0;5000;500;TRUE;98.79
FULL_TRACKING;RECENT_TRACKING;2;;100;0.01;1;8;0;5000;500;TRUE;100
FULL_TRACKING;RECENT_TRACKING;2;;100;0.01;2;8;0;5000;500;TRUE;100
FULL_TRACKING;RECENT_TRACKING;2;;100;0.01;4;8;0;5000;500;TRUE;100
FULL_TRACKING;RECENT_TRACKING;2;;100;0.01;8;8;0;5000;500;TRUE;99.919
FULL_TRACKING;RECENT_TRACKING;2;;100;0.01;16;8;0;5000;500;TRUE;84.199
FULL_TRACKING;RECENT_TRACKING;2;;100;0.01;32;8;0;5000;500;TRUE;64.774
FULL_TRACKING;RECENT_TRACKING;2;;100;0.01;64;8;0;5000;500;TRUE;54.568
FULL_TRACKING;RECENT_TRACKING;2;;100;0.01;128;8;0;5000;500;TRUE;84.77
FULL_TRACKING;RECENT_TRACKING;2;;100;0.01;256;8;0;5000;500;TRUE;94.634
FULL_TRACKING;RECENT_TRACKING;2;;100;0.01;512;8;0;5000;500;TRUE;97.824
FULL_TRACKING;RECENT_TRACKING;2;;100;0.01;1;10;0;5000;500;TRUE;100
FULL_TRACKING;RECENT_TRACKING;2;;100;0.01;2;10;0;5000;500;TRUE;100
FULL_TRACKING;RECENT_TRACKING;2;;100;0.01;4;10;0;5000;500;TRUE;100
FULL_TRACKING;RECENT_TRACKING;2;;100;0.01;8;10;0;5000;500;TRUE;100
FULL_TRACKING;RECENT_TRACKING;2;;100;0.01;16;10;0;5000;500;TRUE;83.953
FULL_TRACKING;RECENT_TRACKING;2;;100;0.01;32;10;0;5000;500;TRUE;63.688
FULL_TRACKING;RECENT_TRACKING;2;;100;0.01;64;10;0;5000;500;TRUE;54.933
FULL_TRACKING;RECENT_TRACKING;2;;100;0.01;128;10;0;5000;500;TRUE;86.331
FULL_TRACKING;RECENT_TRACKING;2;;100;0.01;256;10;0;5000;500;TRUE;97.437
FULL_TRACKING;RECENT_TRACKING;2;;100;0.01;1;12;0;5000;500;TRUE;100
FULL_TRACKING;RECENT_TRACKING;2;;100;0.01;2;12;0;5000;500;TRUE;100
FULL_TRACKING;RECENT_TRACKING;2;;100;0.01;4;12;0;5000;500;TRUE;100
FULL_TRACKING;RECENT_TRACKING;2;;100;0.01;8;12;0;5000;500;TRUE;99.835
FULL_TRACKING;RECENT_TRACKING;2;;100;0.01;16;12;0;5000;500;TRUE;82.833
FULL_TRACKING;RECENT_TRACKING;2;;100;0.01;32;12;0;5000;500;TRUE;62.071
FULL_TRACKING;RECENT_TRACKING;2;;100;0.01;64;12;0;5000;500;TRUE;53.984
FULL_TRACKING;RECENT_TRACKING;2;;100;0.01;128;12;0;5000;500;TRUE;82.369
FULL_TRACKING;RECENT_TRACKING;2;;100;0.01;256;12;0;5000;500;TRUE;96.662
FULL_TRACKING;RECENT_TRACKING;2;;100;0.01;1;15;0;5000;500;TRUE;100
FULL_TRACKING;RECENT_TRACKING;2;;100;0.01;2;15;0;5000;500;TRUE;100
FULL_TRACKING;RECENT_TRACKING;2;;100;0.01;4;15;0;5000;500;TRUE;100
FULL_TRACKING;RECENT_TRACKING;2;;100;0.01;8;15;0;5000;500;TRUE;99.06
FULL_TRACKING;RECENT_TRACKING;2;;100;0.01;16;15;0;5000;500;TRUE;80.839
FULL_TRACKING;RECENT_TRACKING;2;;100;0.01;32;15;0;5000;500;TRUE;58.819
FULL_TRACKING;RECENT_TRACKING;2;;100;0.01;64;15;0;5000;500;TRUE;50.531
FULL_TRACKING;RECENT_TRACKING;2;;100;0.01;128;15;0;5000;500;TRUE;87.308
FULL_TRACKING;RECENT_TRACKING;2;;100;0.01;256;15;0;5000;500;TRUE;95.174
FULL_TRACKING;RECENT_TRACKING;2;;100;0.01;1;18;0;5000;500;TRUE;100
FULL_TRACKING;RECENT_TRACKING;2;;100;0.01;2;18;0;5000;500;TRUE;100
FULL_TRACKING;RECENT_TRACKING;2;;100;0.01;4;18;0;5000;500;TRUE;100
FULL_TRACKING;RECENT_TRACKING;2;;100;0.01;8;18;0;5000;500;TRUE;98.406
FULL_TRACKING;RECENT_TRACKING;2;;100;0.01;16;18;0;5000;500;TRUE;78.2
FULL_TRACKING;RECENT_TRACKING;2;;100;0.01;32;18;0;5000;500;TRUE;56.148
FULL_TRACKING;RECENT_TRACKING;2;;100;0.01;64;18;0;5000;500;TRUE;54.682
FULL_TRACKING;RECENT_TRACKING;2;;100;0.01;128;18;0;5000;500;TRUE;83.263
FULL_TRACKING;RECENT_TRACKING;2;;100;0.01;256;18;0;5000;500;TRUE;93.375
FULL_TRACKING;RECENT_TRACKING;2;;100;0.01;1;22;0;5000;500;TRUE;100
FULL_TRACKING;RECENT_TRACKING;2;;100;0.01;2;22;0;5000;500;TRUE;100
FULL_TRACKING;RECENT_TRACKING;2;;100;0.01;4;22;0;5000;500;TRUE;100
FULL_TRACKING;RECENT_TRACKING;2;;100;0.01;8;22;0;5000;500;TRUE;97.912
FULL_TRACKING;RECENT_TRACKING;2;;100;0.01;16;22;0;5000;500;TRUE;77.324
FULL_TRACKING;RECENT_TRACKING;2;;100;0.01;32;22;0;5000;500;TRUE;53.552
FULL_TRACKING;RECENT_TRACKING;2;;100;0.01;64;22;0;5000;500;TRUE;59.851
FULL_TRACKING;RECENT_TRACKING;2;;100;0.01;128;22;0;5000;500;TRUE;91.596
FULL_TRACKING;RECENT_TRACKING;2;;100;0.01;1;27;0;5000;500;TRUE;100
FULL_TRACKING;RECENT_TRACKING;2;;100;0.01;2;27;0;5000;500;TRUE;100
FULL_TRACKING;RECENT_TRACKING;2;;100;0.01;4;27;0;5000;500;TRUE;100
FULL_TRACKING;RECENT_TRACKING;2;;100;0.01;8;27;0;5000;500;TRUE;97.909
FULL_TRACKING;RECENT_TRACKING;2;;100;0.01;16;27;0;5000;500;TRUE;75.573
FULL_TRACKING;RECENT_TRACKING;2;;100;0.01;32;27;0;5000;500;TRUE;50.148
FULL_TRACKING;RECENT_TRACKING;2;;100;0.01;64;27;0;5000;500;TRUE;71.689
FULL_TRACKING;RECENT_TRACKING;2;;100;0.01;128;27;0;5000;500;TRUE;90.556
